id,datetime,sentiment,text,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59
9.19161E+17,14/10/17 11:18,0,"Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!",health,insurance,stocks,which,have,gone,through,the,roof,during,the,obamacare,years,plunged,yesterday,after,i,ended,their,dems,windfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.19909E+17,16/10/17 12:54,0.166666667,"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp, companies are coming back to U.S.",since,election,day,on,november,8,the,stock,market,is,up,more,than,25,unemployment,is,at,a,17,year,low,&,companies,are,coming,back,to,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1991E+17,16/10/17 12:57,0.625,"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",the,us,has,gained,more,than,52,trillion,dollars,in,stock,market,value,since,election,day,also,record,business,enthusiasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.21726E+17,21/10/17 13:14,-0.0475,Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!,stock,market,hits,another,all,time,high,on,friday,53,trillion,dollars,up,since,election,fake,news,doesnt,spent,much,time,on,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.21891E+17,22/10/17 0:09,0.111111111,"...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!",2nd,amendment,strong,military,isis,historic,va,improvement,supreme,court,justice,record,stock,market,lowest,unemployment,in,17,yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.22834E+17,24/10/17 14:35,0.555,Stock Market just hit another record high! Jobs looking very good.,stock,market,just,hit,another,record,high,jobs,looking,very,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2679E+17,4/11/17 12:35,-0.00959596,"Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill",unemployment,is,down,to,41,lowest,in,17,years,15,million,new,jobs,created,since,i,took,office,highest,stock,market,ever,up,54,trill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.26794E+17,4/11/17 12:49,0.298787879,Would very much appreciate Saudi Arabia doing their IPO of Aramco with the New York Stock Exchange. Important to the United States!,would,very,much,appreciate,saudi,arabia,doing,their,ipo,of,aramco,with,the,new,york,stock,exchange,important,to,the,united,states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.27847E+17,7/11/17 10:37,0.48,Stock market hit yet another all-time record high yesterday. There is great confidence in the moves that my Administration....,stock,market,hit,yet,another,all-time,record,high,yesterday,there,is,great,confidence,in,the,moves,that,my,administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.31469E+17,17/11/17 10:29,0.666666667,"Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform, we'll really see some great results!",great,numbers,on,stocks,and,the,economy,if,we,get,tax,cuts,and,reform,well,really,see,some,great,results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
