DATE,SP500
26/12/17,2680.5
27/12/17,2682.62
28/12/17,2687.54
29/12/17,2673.61
1/1/18,.
2/1/18,2695.81
3/1/18,2713.06
4/1/18,2723.99
5/1/18,2743.15
8/1/18,2747.71
9/1/18,2751.29
10/1/18,2748.23
11/1/18,2767.56
12/1/18,2786.24
15/1/18,.
16/1/18,2776.42
17/1/18,2802.56
18/1/18,2798.03
19/1/18,2810.3
22/1/18,2832.97
23/1/18,2839.13
24/1/18,2837.54
25/1/18,2839.25
26/1/18,2872.87
29/1/18,2853.53
30/1/18,2822.43
31/1/18,2823.81
1/2/18,2821.98
2/2/18,2762.13
5/2/18,2648.94
6/2/18,2695.14
7/2/18,2681.66
8/2/18,2581
9/2/18,2619.55
12/2/18,2656
13/2/18,2662.94
14/2/18,2698.63
15/2/18,2731.2
16/2/18,2732.22
19/2/18,.
20/2/18,2716.26
21/2/18,2701.33
22/2/18,2703.96
23/2/18,2747.3
26/2/18,2779.6
27/2/18,2744.28
28/2/18,2713.83
1/3/18,2677.67
2/3/18,2691.25
5/3/18,2720.94
6/3/18,2728.12
7/3/18,2726.8
8/3/18,2738.97
9/3/18,2786.57
12/3/18,2783.02
13/3/18,2765.31
14/3/18,2749.48
15/3/18,2747.33
16/3/18,2752.01
19/3/18,2712.92
20/3/18,2716.94
21/3/18,2711.93
22/3/18,2643.69
23/3/18,2588.26
26/3/18,2658.55
27/3/18,2612.62
28/3/18,2605
29/3/18,2640.87
30/3/18,.
2/4/18,2581.88
3/4/18,2614.45
4/4/18,2644.69
5/4/18,2662.84
6/4/18,2604.47
9/4/18,2613.16
10/4/18,2656.87
11/4/18,2642.19
12/4/18,2663.99
13/4/18,2656.3
16/4/18,2677.84
17/4/18,2706.39
18/4/18,2708.64
19/4/18,2693.13
20/4/18,2670.14
23/4/18,2670.29
24/4/18,2634.56
25/4/18,2639.4
26/4/18,2666.94
27/4/18,2669.91
30/4/18,2648.05
1/5/18,2654.8
2/5/18,2635.67
3/5/18,2629.73
4/5/18,2663.42
7/5/18,2672.63
8/5/18,2671.92
9/5/18,2697.79
10/5/18,2723.07
11/5/18,2727.72
14/5/18,2730.13
15/5/18,2711.45
16/5/18,2722.46
17/5/18,2720.13
18/5/18,2712.97
21/5/18,2733.01
22/5/18,2724.44
23/5/18,2733.29
24/5/18,2727.76
25/5/18,2721.33
28/5/18,.
29/5/18,2689.86
30/5/18,2724.01
31/5/18,2705.27
1/6/18,2734.62
4/6/18,2746.87
5/6/18,2748.8
6/6/18,2772.35
7/6/18,2770.37
8/6/18,2779.03
11/6/18,2782
12/6/18,2786.85
13/6/18,2775.63
14/6/18,2782.49
15/6/18,2779.66
18/6/18,2773.75
19/6/18,2762.59
20/6/18,2767.32
21/6/18,2749.76
22/6/18,2754.88
25/6/18,2717.07
26/6/18,2723.06
27/6/18,2699.63
28/6/18,2716.31
29/6/18,2718.37
2/7/18,2726.71
3/7/18,2713.22
4/7/18,.
5/7/18,2736.61
6/7/18,2759.82
9/7/18,2784.17
10/7/18,2793.84
11/7/18,2774.02
12/7/18,2798.29
13/7/18,2801.31
16/7/18,2798.43
17/7/18,2809.55
18/7/18,2815.62
19/7/18,2804.49
20/7/18,2801.83
23/7/18,2806.98
24/7/18,2820.4
25/7/18,2846.07
26/7/18,2837.44
27/7/18,2818.82
30/7/18,2802.6
31/7/18,2816.29
1/8/18,2813.36
2/8/18,2827.22
3/8/18,2840.35
6/8/18,2850.4
7/8/18,2858.45
8/8/18,2857.7
9/8/18,2853.58
10/8/18,2833.28
13/8/18,2821.93
14/8/18,2839.96
15/8/18,2818.37
16/8/18,2840.69
17/8/18,2850.13
20/8/18,2857.05
21/8/18,2862.96
22/8/18,2861.82
23/8/18,2856.98
24/8/18,2874.69
27/8/18,2896.74
28/8/18,2897.52
29/8/18,2914.04
30/8/18,2901.13
31/8/18,2901.52
3/9/18,.
4/9/18,2896.72
5/9/18,2888.6
6/9/18,2878.05
7/9/18,2871.68
10/9/18,2877.13
11/9/18,2887.89
12/9/18,2888.92
13/9/18,2904.18
14/9/18,2904.98
17/9/18,2888.8
18/9/18,2904.31
19/9/18,2907.95
20/9/18,2930.75
21/9/18,2929.67
24/9/18,2919.37
25/9/18,2915.56
26/9/18,2905.97
27/9/18,2914
28/9/18,2913.98
1/10/18,2924.59
2/10/18,2923.43
3/10/18,2925.51
4/10/18,2901.61
5/10/18,2885.57
8/10/18,2884.43
9/10/18,2880.34
10/10/18,2785.68
11/10/18,2728.37
12/10/18,2767.13
15/10/18,2750.79
16/10/18,2809.92
17/10/18,2809.21
18/10/18,2768.78
19/10/18,2767.78
22/10/18,2755.88
23/10/18,2740.69
24/10/18,2656.1
25/10/18,2705.57
26/10/18,2658.69
29/10/18,2641.25
30/10/18,2682.63
31/10/18,2711.74
1/11/18,2740.37
2/11/18,2723.06
5/11/18,2738.31
6/11/18,2755.45
7/11/18,2813.89
8/11/18,2806.83
9/11/18,2781.01
12/11/18,2726.22
13/11/18,2722.18
14/11/18,2701.58
15/11/18,2730.2
16/11/18,2736.27
19/11/18,2690.73
20/11/18,2641.89
21/11/18,2649.93
22/11/18,.
23/11/18,2632.56
26/11/18,2673.45
27/11/18,2682.17
28/11/18,2743.79
29/11/18,2737.76
30/11/18,2760.17
3/12/18,2790.37
4/12/18,2700.06
5/12/18,.
6/12/18,2695.95
7/12/18,2633.08
10/12/18,2637.72
11/12/18,2636.78
